category,indicator_code,display_name,current_database_field,unit,required_frequency,current_input_method,preferred_source,backup_source,source_type,source_symbol_or_series,authentication_required,free_or_paid,expected_delay,timezone,trading_calendar,update_time,value_definition,change_definition,automation_level,implementation_priority,known_risks,verification_method
Liquidity,DR007,DR007,indicators.value / previous_value,%,Daily Close,Manual,ChinaMoney via AKShare adapter,Licensed terminal,Official webpage adapter,DR007,false,Free public page / license unclear,EOD,Asia/Shanghai,China interbank,After official publication,Official weighted repo rate,Value difference x100 bp,B,P2,Undocumented endpoint and definition ambiguity,Compare 10 days with official page and terminal
Liquidity,R001,R001,indicators.value / previous_value,%,Daily Close,Manual,ChinaMoney via AKShare adapter,Licensed terminal,Official webpage adapter,R001,false,Free public page / license unclear,EOD,Asia/Shanghai,China interbank,After official publication,Official weighted repo rate,Value difference x100 bp,B,P2,Undocumented endpoint and definition ambiguity,Compare 10 days with official page and terminal
Liquidity,SOFR,SOFR,indicators.value / previous_value,%,Daily,FRED,St. Louis Fed FRED,New York Fed,Official API,SOFR,true,Free,EOD plus publication lag,America/New_York,US business days,After release,Published SOFR rate,Value difference x100 bp,A,P1,Holiday and revision timing,Match latest two FRED and NY Fed observations
Liquidity,RRP,Fed Overnight Reverse Repo,indicators.value / previous_value,USD bn,Daily,FRED,St. Louis Fed FRED,New York Fed,Official API,RRPONTSYD,true,Free,EOD,America/New_York,US business days,After release,Overnight reverse repo usage in USD billions,Percent change,A,P1,Unit conversion and zero denominator,Match FRED units and date
China Rates,CN10Y,China Government Bond 10Y,indicators.value / previous_value,%,Daily Close,ChinaBond scraper,ChinaBond CCDC,Manual licensed check,Official webpage adapter,Government yield curve 10Y,false,Free page / reuse to verify,EOD,Asia/Shanghai,China bond business days,After curve publication,10Y spot yield from government curve,Value difference x100 bp,B,P2,HTML structure and tenor mapping,Contract fixture plus official page sample
China Rates,CN30Y,China Government Bond 30Y,indicators.value / previous_value,%,Daily Close,ChinaBond scraper,ChinaBond CCDC,Manual licensed check,Official webpage adapter,Government yield curve 30Y,false,Free page / reuse to verify,EOD,Asia/Shanghai,China bond business days,After curve publication,30Y spot yield from government curve,Value difference x100 bp,B,P2,HTML structure and tenor mapping,Contract fixture plus official page sample
China Rates,IRS1Y,FR007 IRS 1Y,indicators.value / previous_value,%,Daily Close,Manual Wind,Licensed Wind or CFETS,Manual double check,Licensed data,FR007 IRS 1Y,true,Paid,EOD,Asia/Shanghai,China interbank,After close,Approved 1Y FR007 swap close,Value difference x100 bp,C,P3,No acceptable free licensed source,Two-person check against licensed terminal
China Rates,IRS5Y,FR007 IRS 5Y,indicators.value / previous_value,%,Daily Close,Manual Wind,Licensed Wind or CFETS,Manual double check,Licensed data,FR007 IRS 5Y,true,Paid,EOD,Asia/Shanghai,China interbank,After close,Approved 5Y FR007 swap close,Value difference x100 bp,C,P3,No acceptable free licensed source,Two-person check against licensed terminal
US Rates,US2Y,US Treasury 2Y,indicators.value / previous_value,%,Daily Close,US Treasury,U.S. Treasury,FRED,Official API/XML,BC_2YEAR / DGS2,false,Free,EOD,America/New_York,US Treasury business days,After daily curve,2Y Treasury par yield,Value difference x100 bp,A,P1,Revisions and holiday gaps,Compare Treasury and FRED date/value
US Rates,US10Y,US Treasury 10Y,indicators.value / previous_value,%,Daily Close,US Treasury,U.S. Treasury,FRED,Official API/XML,BC_10YEAR / DGS10,false,Free,EOD,America/New_York,US Treasury business days,After daily curve,10Y Treasury par yield,Value difference x100 bp,A,P1,Revisions and holiday gaps,Compare Treasury and FRED date/value
US Rates,US30Y,US Treasury 30Y,indicators.value / previous_value,%,Daily Close,US Treasury,U.S. Treasury,FRED,Official API/XML,BC_30YEAR / DGS30,false,Free,EOD,America/New_York,US Treasury business days,After daily curve,30Y Treasury par yield,Value difference x100 bp,A,P1,Revisions and holiday gaps,Compare Treasury and FRED date/value
Bond Futures,T.CFE,10Y CGB Futures Main,indicators.value / previous_value,index points,Daily Close,Manual,CFFEX daily market data,Tushare or AKShare,Official download adapter,T contracts,false,Free page / history products may be paid,EOD,Asia/Shanghai,CFFEX,After settlement,Selected main contract close,Percent change,B,P2,Main contract roll rule and licensing,Recompute selection and compare CFFEX
Bond Futures,TL.CFE,30Y CGB Futures Main,indicators.value / previous_value,index points,Daily Close,Manual,CFFEX daily market data,Tushare or AKShare,Official download adapter,TL contracts,false,Free page / history products may be paid,EOD,Asia/Shanghai,CFFEX,After settlement,Selected main contract close,Percent change,B,P2,Main contract roll rule and licensing,Recompute selection and compare CFFEX
Bond Futures,TF.CFE,5Y CGB Futures Main,indicators.value / previous_value,index points,Daily Close,Manual,CFFEX daily market data,Tushare or AKShare,Official download adapter,TF contracts,false,Free page / history products may be paid,EOD,Asia/Shanghai,CFFEX,After settlement,Selected main contract close,Percent change,B,P2,Main contract roll rule and licensing,Recompute selection and compare CFFEX
Bond Futures,TS.CFE,2Y CGB Futures Main,indicators.value / previous_value,index points,Daily Close,Manual,CFFEX daily market data,Tushare or AKShare,Official download adapter,TS contracts,false,Free page / history products may be paid,EOD,Asia/Shanghai,CFFEX,After settlement,Selected main contract close,Percent change,B,P2,Main contract roll rule and licensing,Recompute selection and compare CFFEX
FX,DXY,US Dollar Index,indicators.value / previous_value,index points,Daily Close,Manual,yfinance,Licensed ICE market data,Unofficial market endpoint,DX-Y.NYB,false,Free library / data use restricted,Delayed or EOD,America/New_York,ICE trading days,After close,ICE DXY close or clearly labelled proxy,Percent change,B,P2,Personal-use terms and endpoint stability,Compare with licensed quote for 10 days
FX,USDCNY,USD CNY,indicators.value / previous_value,CNY per USD,Daily,FRED,FRED,Alpha Vantage,Official API,DEXCHUS,true,Free,EOD plus publication lag,America/New_York,Federal Reserve business days,After release,CNY per USD,Percent change,A,P1,Not an intraday onshore close,Check quote direction and Alpha Vantage
FX,USDJPY,USD JPY,indicators.value / previous_value,JPY per USD,Daily,FRED,FRED,Alpha Vantage,Official API,DEXJPUS,true,Free,EOD plus publication lag,America/New_York,Federal Reserve business days,After release,JPY per USD,Percent change,A,P1,Publication lag,Check quote direction and second source
FX,EURUSD,EUR USD,indicators.value / previous_value,USD per EUR,Daily,FRED,FRED,ECB SDMX,Official API,DEXUSEU,true,Free,EOD plus publication lag,America/New_York,Federal Reserve business days,After release,USD per EUR,Percent change,A,P1,ECB cross-rate timing differs,Check direction and ECB cross rate
Equity,CSI300,CSI 300,indicators.value / previous_value,index points,Daily Close,Manual screenshot,Fuyao AI Cubes,Tushare or AKShare,Authenticated REST API,CSI300 index symbol,true,Free terms and quota unconfirmed,Delayed or EOD,Asia/Shanghai,SSE and SZSE,After close,Official index close,Percent change,B,P2,Quota license and provider continuity,Compare 10 days with index publisher
Equity,HSTECH,Hang Seng TECH,indicators.value / previous_value,index points,Daily Close,Manual,yfinance,Licensed HK data,Unofficial market endpoint,^HSTECH,false,Free library / data use restricted,Delayed or EOD,Asia/Hong_Kong,HKEX,After close,Hang Seng TECH close,Percent change,B,P2,Personal-use terms and symbol stability,Compare with licensed quote for 10 days
Equity,SPX,S&P 500,indicators.value / previous_value,index points,Daily,FRED,FRED,Alpha Vantage,Official API,SP500,true,Free,EOD plus publication lag,America/New_York,NYSE calendar,After release,S&P 500 daily close,Percent change,A,P1,Not real time and source revisions,Compare date with official market close
Equity,NDX,Nasdaq 100,indicators.value / previous_value,index points,Daily,FRED,FRED,Nasdaq Data Link,Official API,NASDAQ100,true,Free primary / backup dataset dependent,EOD plus publication lag,America/New_York,Nasdaq calendar,After release,Nasdaq 100 daily close,Percent change,A,P1,Data Link entitlement may vary,Compare date with Nasdaq reference
Commodity,GOLD,Gold,indicators.value / previous_value,USD/oz,Daily Close,Manual,Alpha Vantage,yfinance GC=F,Authenticated REST API,GOLD_SILVER_SPOT:GOLD,true,Free 25 calls per day,Live or delayed UTC unspecified,UTC,Global bullion business days,Controlled daily snapshot,Gold spot USD per troy ounce,Percent change,B,P2,Free quota and spot timestamp semantics,Compare with independent spot benchmark
Commodity,WTI,WTI Crude Oil,indicators.value / previous_value,USD/bbl,Daily,FRED,FRED,Alpha Vantage,Official API,DCOILWTICO,true,Free,Publication lag,America/Chicago,US business days,After EIA/FRED release,WTI Cushing spot USD per barrel,Percent change,A,P1,Not futures settlement and delayed,Match FRED metadata and Alpha Vantage
Commodity,COPPER,LME Copper,indicators.value / previous_value,USD/tonne,Daily Close,Manual,yfinance HG=F proxy,Licensed LME data,Unofficial futures endpoint,HG=F,false,Free library / data use restricted,Delayed or EOD,America/New_York,COMEX calendar,After close,Current requirement is LME USD tonne; proxy requires conversion,Percent change,B,P2,Proxy contract and unit mismatch,Do not enable until converted and reconciled
Commodity,SILVER,Silver,indicators.value / previous_value,USD/oz,Daily Close,Manual,Alpha Vantage,yfinance SI=F,Authenticated REST API,GOLD_SILVER_SPOT:SILVER,true,Free 25 calls per day,Live or delayed UTC unspecified,UTC,Global bullion business days,Controlled daily snapshot,Silver spot USD per troy ounce,Percent change,B,P2,Free quota and spot timestamp semantics,Compare with independent spot benchmark
Credit,AAA3Y,AAA 3Y Credit Spread,indicators.value / previous_value,bp,Daily Close,Manual Wind,Licensed ChinaBond or Wind curves,Manual double check,Derived licensed data,AAA 3Y minus approved benchmark,true,Paid,EOD,Asia/Shanghai,China bond business days,After close,Spread to yet-to-be-approved benchmark in bp,Value difference bp,C,P3,Benchmark sample and interpolation undefined,Document formula then dual-source check
Credit,AA+3Y,AA+ 3Y Credit Spread,indicators.value / previous_value,bp,Daily Close,Manual Wind,Licensed ChinaBond or Wind curves,Manual double check,Derived licensed data,AA+ 3Y minus approved benchmark,true,Paid,EOD,Asia/Shanghai,China bond business days,After close,Spread to yet-to-be-approved benchmark in bp,Value difference bp,C,P3,Benchmark sample and interpolation undefined,Document formula then dual-source check
Credit,AA3Y,AA 3Y Credit Spread,indicators.value / previous_value,bp,Daily Close,Manual Wind,Licensed ChinaBond or Wind curves,Manual double check,Derived licensed data,AA 3Y minus approved benchmark,true,Paid,EOD,Asia/Shanghai,China bond business days,After close,Spread to yet-to-be-approved benchmark in bp,Value difference bp,C,P3,Benchmark sample and interpolation undefined,Document formula then dual-source check
Volatility,VIX,VIX,indicators.value / previous_value,index points,Daily,FRED,FRED,Cboe licensed data,Official API,VIXCLS,true,Free primary / official real-time licensed,EOD plus publication lag,America/Chicago,Cboe calendar,After release,VIX close,Percent change,A,P1,Not real time,Compare with Cboe close date
Volatility,MOVE,MOVE,indicators.value / previous_value,index points,Daily Close,Manual,Licensed ICE BofA MOVE,Manual check,Licensed index data,MOVE index,true,Paid,EOD,America/New_York,US bond business days,After close,MOVE index close,Percent change,C,P3,No acceptable free redistributable source,Two-person licensed terminal check
